Filename	EXIF:Date Taken [Y-m-d_H-M-S]	IPTC:Keywords	
B00000263_21I6LW_20150612_142955E	2015-06-12_14-29-55	Indoors	
B00000264_21I6LW_20150612_143026E	2015-06-12_14-30-26	Indoors	
B00000265_21I6LW_20150612_143057E	2015-06-12_14-30-57	Indoors	
B00000266_21I6LW_20150612_143128E	2015-06-12_14-31-28	Indoors	
B00000267_21I6LW_20150612_143159E	2015-06-12_14-31-59	Indoors	
B00000268_21I6LW_20150612_143229E	2015-06-12_14-32-29	Indoors	
B00000269_21I6LW_20150612_143259E	2015-06-12_14-32-59	Indoors	
B00000270_21I6LW_20150612_143329E	2015-06-12_14-33-29	Indoors	
B00000271_21I6LW_20150612_143359E	2015-06-12_14-33-59	Indoors	
B00000272_21I6LW_20150612_143430E	2015-06-12_14-34-30	Indoors	
B00000273_21I6LW_20150612_143502E	2015-06-12_14-35-01	Indoors	
B00000274_21I6LW_20150612_143532E	2015-06-12_14-35-32	Indoors	
B00000275_21I6LW_20150612_143603E	2015-06-12_14-36-03	Indoors	
B00000276_21I6LW_20150612_143634E	2015-06-12_14-36-34	Indoors	
B00000277_21I6LW_20150612_143705E	2015-06-12_14-37-05	Indoors	
B00000278_21I6LW_20150612_143736E	2015-06-12_14-37-36	Indoors	
B00000279_21I6LW_20150612_143807E	2015-06-12_14-38-07	Indoors	
B00000280_21I6LW_20150612_143837E	2015-06-12_14-38-37	Indoors	
B00000281_21I6LW_20150612_143908E	2015-06-12_14-39-08	Indoors	
B00000282_21I6LW_20150612_143939E	2015-06-12_14-39-39	Indoors	
B00000283_21I6LW_20150612_144010E	2015-06-12_14-40-10	Indoors	
B00000284_21I6LW_20150612_144049E	2015-06-12_14-40-49	Indoors	
B00000285_21I6LW_20150612_144128E	2015-06-12_14-41-28	Indoors	
B00000286_21I6LW_20150612_144159E	2015-06-12_14-41-59	Indoors	
B00000287_21I6LW_20150612_144230E	2015-06-12_14-42-30	Indoors	
B00000288_21I6LW_20150612_144301E	2015-06-12_14-43-01	Indoors	
B00000289_21I6LW_20150612_144332E	2015-06-12_14-43-32	Indoors	
B00000290_21I6LW_20150612_144403E	2015-06-12_14-44-03	Indoors	
B00000291_21I6LW_20150612_144434E	2015-06-12_14-44-34	Indoors	
B00000292_21I6LW_20150612_144507E	2015-06-12_14-45-07	Indoors	
B00000293_21I6LW_20150612_144538E	2015-06-12_14-45-38	Indoors	
B00000294_21I6LW_20150612_144609E	2015-06-12_14-46-09	Indoors	
B00000295_21I6LW_20150612_144640E	2015-06-12_14-46-40	Indoors	
B00000296_21I6LW_20150612_144711E	2015-06-12_14-47-11	Indoors	
B00000297_21I6LW_20150612_144742E	2015-06-12_14-47-42	Indoors	
B00000298_21I6LW_20150612_144813E	2015-06-12_14-48-13	Indoors	
B00000299_21I6LW_20150612_144844E	2015-06-12_14-48-44	Indoors	
B00000300_21I6LW_20150612_144915E	2015-06-12_14-49-15	Indoors	
B00000301_21I6LW_20150612_144946E	2015-06-12_14-49-46	Indoors	
B00000302_21I6LW_20150612_145017E	2015-06-12_14-50-17	Indoors	
B00000303_21I6LW_20150612_145048E	2015-06-12_14-50-48	Indoors	
B00000304_21I6LW_20150612_145119E	2015-06-12_14-51-19	Indoors	
B00000305_21I6LW_20150612_145150E	2015-06-12_14-51-50	Indoors	
